Population,MedianIncome,RegionName,year,state_fip,_last_synced_
11917,68086,35004,2021,1,2023-12-02 16:47:54
8180,48583,35005,2021,1,2023-12-02 16:47:54
3386,58799,35006,2021,1,2023-12-02 16:47:54
27323,74741,35007,2021,1,2023-12-02 16:47:54
20899,48874,35010,2021,1,2023-12-02 16:47:54
4212,50893,35014,2021,1,2023-12-02 16:47:54
16906,49813,35016,2021,1,2023-12-02 16:47:54
2289,53639,35019,2021,1,2023-12-02 16:47:54
25763,28812,35020,2021,1,2023-12-02 16:47:54
22211,68139,35022,2021,1,2023-12-02 16:47:54
24780,61632,35023,2021,1,2023-12-02 16:47:54
7379,50186,35031,2021,1,2023-12-02 16:47:54
3235,41989,35033,2021,1,2023-12-02 16:47:54
5451,43929,35034,2021,1,2023-12-02 16:47:54
991,56416,35035,2021,1,2023-12-02 16:47:54
18433,68848,35040,2021,1,2023-12-02 16:47:54
6221,62778,35042,2021,1,2023-12-02 16:47:54
14054,94959,35043,2021,1,2023-12-02 16:47:54
7960,38081,35044,2021,1,2023-12-02 16:47:54
14576,52056,35045,2021,1,2023-12-02 16:47:54
5106,58851,35046,2021,1,2023-12-02 16:47:54
3643,44984,35049,2021,1,2023-12-02 16:47:54
8627,55899,35051,2021,1,2023-12-02 16:47:54
2833,72031,35053,2021,1,2023-12-02 16:47:54
4233,79569,35054,2021,1,2023-12-02 16:47:54
22597,53810,35055,2021,1,2023-12-02 16:47:54
14165,59731,35057,2021,1,2023-12-02 16:47:54
10112,50564,35058,2021,1,2023-12-02 16:47:54
1517,62788,35061,2021,1,2023-12-02 16:47:54
8698,55341,35062,2021,1,2023-12-02 16:47:54
3085,54722,35063,2021,1,2023-12-02 16:47:54
10083,44039,35064,2021,1,2023-12-02 16:47:54
8205,72881,35068,2021,1,2023-12-02 16:47:54
17487,74507,35071,2021,1,2023-12-02 16:47:54
4791,44599,35072,2021,1,2023-12-02 16:47:54
3082,46000,35073,2021,1,2023-12-02 16:47:54
14184,44825,35077,2021,1,2023-12-02 16:47:54
1951,66922,35078,2021,1,2023-12-02 16:47:54
9469,77500,35079,2021,1,2023-12-02 16:47:54
19266,97993,35080,2021,1,2023-12-02 16:47:54
4024,51875,35083,2021,1,2023-12-02 16:47:54
8140,61123,35085,2021,1,2023-12-02 16:47:54
2702,43698,35087,2021,1,2023-12-02 16:47:54
1546,55040,35089,2021,1,2023-12-02 16:47:54
3193,97882,35091,2021,1,2023-12-02 16:47:54
15206,64154,35094,2021,1,2023-12-02 16:47:54
8644,63582,35096,2021,1,2023-12-02 16:47:54
1940,44688,35097,2021,1,2023-12-02 16:47:54
1337,53750,35098,2021,1,2023-12-02 16:47:54
17103,72217,35111,2021,1,2023-12-02 16:47:54
8156,93438,35114,2021,1,2023-12-02 16:47:54
17448,47500,35115,2021,1,2023-12-02 16:47:54
4885,73250,35116,2021,1,2023-12-02 16:47:54
5866,79210,35117,2021,1,2023-12-02 16:47:54
3477,62054,35118,2021,1,2023-12-02 16:47:54
17106,65795,35120,2021,1,2023-12-02 16:47:54
16441,49083,35121,2021,1,2023-12-02 16:47:54
24594,80261,35124,2021,1,2023-12-02 16:47:54
10752,49030,35125,2021,1,2023-12-02 16:47:54
21997,71303,35126,2021,1,2023-12-02 16:47:54
9638,67000,35127,2021,1,2023-12-02 16:47:54
10831,69503,35128,2021,1,2023-12-02 16:47:54
3509,42939,35130,2021,1,2023-12-02 16:47:54
3347,40938,35131,2021,1,2023-12-02 16:47:54
3406,52137,35133,2021,1,2023-12-02 16:47:54
2075,49091,35135,2021,1,2023-12-02 16:47:54
2153,47500,35136,2021,1,2023-12-02 16:47:54
3238,73367,35143,2021,1,2023-12-02 16:47:54
12049,73230,35146,2021,1,2023-12-02 16:47:54
5752,78432,35147,2021,1,2023-12-02 16:47:54
2419,56500,35148,2021,1,2023-12-02 16:47:54
17421,37402,35150,2021,1,2023-12-02 16:47:54
7893,61875,35151,2021,1,2023-12-02 16:47:54
26369,36762,35160,2021,1,2023-12-02 16:47:54
3556,55764,35171,2021,1,2023-12-02 16:47:54
2761,44821,35172,2021,1,2023-12-02 16:47:54
30218,103097,35173,2021,1,2023-12-02 16:47:54
5054,64167,35175,2021,1,2023-12-02 16:47:54
2894,34216,35178,2021,1,2023-12-02 16:47:54
8602,54205,35179,2021,1,2023-12-02 16:47:54
14615,66285,35180,2021,1,2023-12-02 16:47:54
5788,54102,35184,2021,1,2023-12-02 16:47:54
5151,89118,35186,2021,1,2023-12-02 16:47:54
2745,49308,35188,2021,1,2023-12-02 16:47:54
3160,36847,35203,2021,1,2023-12-02 16:47:54
9287,27140,35204,2021,1,2023-12-02 16:47:54
18709,43277,35205,2021,1,2023-12-02 16:47:54
16447,33366,35206,2021,1,2023-12-02 16:47:54
7153,26967,35207,2021,1,2023-12-02 16:47:54
14112,32277,35208,2021,1,2023-12-02 16:47:54
29287,67814,35209,2021,1,2023-12-02 16:47:54
13457,63784,35210,2021,1,2023-12-02 16:47:54
24762,33043,35211,2021,1,2023-12-02 16:47:54
10626,30113,35212,2021,1,2023-12-02 16:47:54
14807,125060,35213,2021,1,2023-12-02 16:47:54
18106,54180,35214,2021,1,2023-12-02 16:47:54
46817,41814,35215,2021,1,2023-12-02 16:47:54
38829,65803,35216,2021,1,2023-12-02 16:47:54
12906,39388,35217,2021,1,2023-12-02 16:47:54
7622,30725,35218,2021,1,2023-12-02 16:47:54
3787,34531,35221,2021,1,2023-12-02 16:47:54
8739,65665,35222,2021,1,2023-12-02 16:47:54
11432,138438,35223,2021,1,2023-12-02 16:47:54
5535,45679,35224,2021,1,2023-12-02 16:47:54
38064,114509,35226,2021,1,2023-12-02 16:47:54
10152,43283,35228,2021,1,2023-12-02 16:47:54
2469,44394,35233,2021,1,2023-12-02 16:47:54
4887,22774,35234,2021,1,2023-12-02 16:47:54
21357,58246,35235,2021,1,2023-12-02 16:47:54
57077,107191,35242,2021,1,2023-12-02 16:47:54
17532,93317,35243,2021,1,2023-12-02 16:47:54
36121,97668,35244,2021,1,2023-12-02 16:47:54
36403,24209,35401,2021,1,2023-12-02 16:47:54
23644,42387,35404,2021,1,2023-12-02 16:47:54
47828,58695,35405,2021,1,2023-12-02 16:47:54
18228,108188,35406,2021,1,2023-12-02 16:47:54
1170,45391,35441,2021,1,2023-12-02 16:47:54
5798,30589,35442,2021,1,2023-12-02 16:47:54
1170,18578,35443,2021,1,2023-12-02 16:47:54
4216,52875,35444,2021,1,2023-12-02 16:47:54
2168,49146,35446,2021,1,2023-12-02 16:47:54
3173,39635,35447,2021,1,2023-12-02 16:47:54
3886,57157,35452,2021,1,2023-12-02 16:47:54
12163,65119,35453,2021,1,2023-12-02 16:47:54
4855,54135,35456,2021,1,2023-12-02 16:47:54
976,31413,35459,2021,1,2023-12-02 16:47:54
782,25300,35460,2021,1,2023-12-02 16:47:54
1949,42100,35461,2021,1,2023-12-02 16:47:54
4408,29817,35462,2021,1,2023-12-02 16:47:54
2143,56918,35463,2021,1,2023-12-02 16:47:54
5310,55572,35466,2021,1,2023-12-02 16:47:54
5067,22586,35470,2021,1,2023-12-02 16:47:54
19138,71931,35473,2021,1,2023-12-02 16:47:54
7335,61053,35474,2021,1,2023-12-02 16:47:54
19533,90953,35475,2021,1,2023-12-02 16:47:54
7755,48805,35476,2021,1,2023-12-02 16:47:54
1926,75545,35480,2021,1,2023-12-02 16:47:54
3308,42664,35481,2021,1,2023-12-02 16:47:54
5445,62542,35490,2021,1,2023-12-02 16:47:54
10045,41618,35501,2021,1,2023-12-02 16:47:54
9450,51314,35503,2021,1,2023-12-02 16:47:54
13582,60547,35504,2021,1,2023-12-02 16:47:54
2410,47180,35540,2021,1,2023-12-02 16:47:54
3707,52008,35541,2021,1,2023-12-02 16:47:54
3784,53663,35546,2021,1,2023-12-02 16:47:54
3152,40357,35549,2021,1,2023-12-02 16:47:54
5184,45000,35550,2021,1,2023-12-02 16:47:54
1331,49344,35552,2021,1,2023-12-02 16:47:54
4882,43676,35553,2021,1,2023-12-02 16:47:54
