RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,statefips,region_tag
91940,0,77449,zip,TX,TX,,"Houston-The Woodlands-Sugar Land, TX",Harris County,48,
91982,1,77494,zip,TX,TX,,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,48,
93144,2,79936,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,48,el-paso-tx-79936
62080,3,11368,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,36,new-york-ny-11368
62093,4,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,36,new-york-ny-11385
95992,5,90011,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6,los-angeles-ca-90011
84630,6,60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,17,chicago-il-60629
91733,7,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,48,houston-tx-77084
96361,8,91331,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6,los-angeles-ca-91331
96193,9,90650,zip,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6,norwalk-ca-90650
61148,10,8701,zip,NJ,NJ,Lakewood,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,34,lakewood-nj-8701
62046,11,11236,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,36,new-york-ny-11236
96083,12,90201,zip,CA,CA,Bell,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6,bell-ca-90201
96816,13,92335,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,6,fontana-ca-92335
62019,14,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,36,new-york-ny-11208
61807,15,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,36,new-york-ny-10467
62037,16,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,36,new-york-ny-11226
92593,17,78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,48,pflugerville-tx-78660
96882,18,92503,zip,CA,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,6,riverside-ca-92503
96107,19,90250,zip,CA,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6,hawthorne-ca-90250
96025,20,90044,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6,los-angeles-ca-90044
96239,21,90805,zip,CA,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6,long-beach-ca-90805
96125,22,90280,zip,CA,CA,South Gate,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6,south-gate-ca-90280
97223,23,93307,zip,CA,CA,Bakersfield,"Bakersfield, CA",Kern County,6,bakersfield-ca-93307
96368,24,91342,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6,los-angeles-ca-91342
96990,25,92683,zip,CA,CA,Westminster,"Los Angeles-Long Beach-Anaheim, CA",Orange County,6,westminster-ca-92683
96817,26,92336,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,6,fontana-ca-92336
62085,27,11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,36,new-york-ny-11373
84620,28,60618,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,17,chicago-il-60618
97771,29,94565,zip,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,6,pittsburg-ca-94565
62044,30,11234,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,36,new-york-ny-11234
62031,31,11220,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,36,new-york-ny-11220
92481,32,78521,zip,TX,TX,Brownsville,"Brownsville-Harlingen, TX",Cameron County,48,brownsville-tx-78521
84639,33,60639,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,17,chicago-il-60639
90654,34,75052,zip,TX,TX,Grand Prairie,"Dallas-Fort Worth-Arlington, TX",Dallas County,48,grand-prairie-tx-75052
62018,35,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,36,new-york-ny-11207
91926,36,77433,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,48,cypress-tx-77433
62025,37,11214,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,36,new-york-ny-11214
70829,38,30044,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,13,lawrenceville-ga-30044
61639,39,10025,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,36,new-york-ny-10025
